id,result_equipment_id,material_id,material_count,required_action_point,required_gold,required_block_index,unlock_stage,sub_recipe_id,sub_recipe_id_2,sub_recipe_id_3,required_crystal,item_sub_type
1,10110000,303000,2,0,0,1,3,373,374,375,1,Weapon
2,10111000,303000,2,0,0,1,11,1,2,3,2,Weapon
3,10112000,303000,2,0,0,1,19,4,5,6,2,Weapon
4,10113000,303000,8,0,0,1,51,7,8,9,19,Weapon
5,10114000,303000,12,0,0,1,99,10,11,12,64,Weapon
6,10120000,303001,4,0,0,1,27,376,377,378,8,Weapon
7,10121000,303001,4,0,0,1,29,13,14,15,11,Weapon
8,10122000,303001,6,0,0,1,39,16,17,18,15,Weapon
9,10123000,303001,15,0,0,1,114,19,20,21,1056,Weapon
10,10124000,303001,24,0,0,1,174,22,23,24,22560,Weapon
11,10130000,303002,7,0,0,1,63,379,380,381,234,Weapon
12,10131000,303002,8,0,0,1,66,25,26,27,279,Weapon
13,10132000,303002,9,0,0,1,78,28,29,30,317,Weapon
14,10133000,303002,27,0,0,1,190,31,32,33,41040,Weapon
15,10134000,303002,47,0,0,1,204,34,35,36,167040,Weapon
16,10130001,303002,17,0,0,1,130,382,383,384,8340,Weapon
17,10131001,303002,19,0,0,1,138,37,38,39,14520,Weapon
18,10132001,303002,21,0,0,1,154,40,41,42,32040,Weapon
19,10133001,303002,61,0,0,1,220,43,44,45,216180,Weapon
20,10134001,303002,73,0,0,1,236,46,47,48,495900,Weapon
21,10140000,303003,78,0,0,1,999,385,386,387,1404000,Weapon
22,10141000,303003,79,0,0,1,999,49,50,51,1532100,Weapon
23,10142000,303003,79,0,0,1,999,52,53,54,1532100,Weapon
24,10143000,303003,79,0,0,1,999,55,56,57,1532100,Weapon
25,10144000,303003,79,0,0,1,999,58,59,60,1532100,Weapon
26,10140001,303003,85,0,0,1,999,388,389,390,1533000,Weapon
27,10141001,303003,85,0,0,1,999,61,62,63,1648200,Weapon
28,10142001,303003,86,0,0,1,999,64,65,66,1664100,Weapon
29,10143001,303003,86,0,0,1,999,67,68,69,1664100,Weapon
30,10144001,303003,87,0,0,1,999,70,71,72,1686900,Weapon
31,10150000,303004,105,0,0,1,999,391,392,393,5043000,Weapon
32,10151000,303004,106,0,0,1,999,73,74,75,5231100,Weapon
33,10152000,303004,107,0,0,1,999,76,77,78,5283900,Weapon
34,10153000,303004,108,0,0,1,999,79,80,81,5329800,Weapon
35,10154000,303004,109,0,0,1,999,82,83,84,5382600,Weapon
36,10150001,303004,117,0,0,1,999,394,395,396,5619000,Weapon
37,10151001,303004,118,0,0,1,999,85,86,87,5823300,Weapon
38,10152001,303004,119,0,0,1,999,88,89,90,5876100,Weapon
39,10153001,303004,121,0,0,1,999,91,92,93,5974800,Weapon
40,10154001,303004,122,0,0,1,999,94,95,96,6020700,Weapon
41,10155000,303004,125,0,0,1,999,397,398,399,6003000,Weapon
42,10210000,303100,2,0,0,1,6,400,401,402,1,Armor
43,10211000,303100,2,0,0,1,13,97,98,99,2,Armor
44,10212000,303100,3,0,0,1,24,100,101,102,3,Armor
45,10213000,303100,10,0,0,1,59,103,104,105,23,Armor
46,10214000,303100,14,0,0,1,108,106,107,108,742,Armor
47,10220000,303101,5,0,0,1,35,403,404,405,5,Armor
48,10221000,303101,5,0,0,1,37,109,110,111,8,Armor
49,10222000,303101,7,0,0,1,45,112,113,114,11,Armor
50,10223000,303101,16,0,0,1,123,115,116,117,928,Armor
51,10224000,303101,26,0,0,1,182,118,119,120,23920,Armor
52,10230000,303102,9,0,0,1,75,406,407,408,300,Armor
53,10231000,303102,10,0,0,1,81,121,122,123,348,Armor
54,10232000,303102,11,0,0,1,93,124,125,126,387,Armor
55,10233000,303102,40,0,0,1,201,127,128,129,140400,Armor
56,10234000,303102,52,0,0,1,208,130,131,132,182520,Armor
57,10230001,303102,20,0,0,1,146,409,410,411,9600,Armor
58,10231001,303102,22,0,0,1,158,133,134,135,33000,Armor
59,10232001,303102,23,0,0,1,166,136,137,138,35040,Armor
60,10233001,303102,67,0,0,1,228,139,140,141,455400,Armor
61,10234001,303102,76,0,0,1,246,142,143,144,889200,Armor
62,10240000,303103,77,0,0,1,999,412,413,414,1166700,Armor
63,10241000,303103,77,0,0,1,999,145,146,147,1173660,Armor
