ID,_PetName,PetLevel,SoulStoneQuantity,NcgQuantity
1001,D:CC BlackCat,1,10,0
1001,D:CC BlackCat,2,10,0
1001,D:CC BlackCat,3,10,0
1001,D:CC BlackCat,4,10,0
1001,D:CC BlackCat,5,10,0
1001,D:CC BlackCat,6,10,0
1001,D:CC BlackCat,7,10,0
1001,D:CC BlackCat,8,10,0
1001,D:CC BlackCat,9,10,60
1001,D:CC BlackCat,10,10,0
1001,D:CC BlackCat,11,10,0
1001,D:CC BlackCat,12,10,0
1001,D:CC BlackCat,13,10,0
1001,D:CC BlackCat,14,10,0
1001,D:CC BlackCat,15,10,0
1001,D:CC BlackCat,16,10,0
1001,D:CC BlackCat,17,10,0
1001,D:CC BlackCat,18,10,0
1001,D:CC BlackCat,19,10,60
1001,D:CC BlackCat,20,10,0
1001,D:CC BlackCat,21,10,0
1001,D:CC BlackCat,22,10,0
1001,D:CC BlackCat,23,10,0
1001,D:CC BlackCat,24,10,0
1001,D:CC BlackCat,25,10,0
1001,D:CC BlackCat,26,10,0
1001,D:CC BlackCat,27,10,0
1001,D:CC BlackCat,28,10,0
1001,D:CC BlackCat,29,10,60
1001,D:CC BlackCat,30,10,0
1001,D:CC BlackCat,31,10,0
1001,D:CC BlackCat,32,10,0
1001,D:CC BlackCat,33,10,0
1001,D:CC BlackCat,34,10,0
1001,D:CC BlackCat,35,10,0
1001,D:CC BlackCat,36,10,0
1001,D:CC BlackCat,37,10,0
1001,D:CC BlackCat,38,10,0
1001,D:CC BlackCat,39,10,60
1001,D:CC BlackCat,40,10,0
1001,D:CC BlackCat,41,10,0
1001,D:CC BlackCat,42,10,0
1001,D:CC BlackCat,43,10,0
1001,D:CC BlackCat,44,10,0
1001,D:CC BlackCat,45,10,0
1001,D:CC BlackCat,46,10,0
1001,D:CC BlackCat,47,10,0
1001,D:CC BlackCat,48,10,0
1001,D:CC BlackCat,49,10,60
1001,D:CC BlackCat,50,10,0
1001,D:CC BlackCat,51,10,0
1001,D:CC BlackCat,52,10,0
1001,D:CC BlackCat,53,10,0
1001,D:CC BlackCat,54,10,0
1001,D:CC BlackCat,55,10,0
1001,D:CC BlackCat,56,10,0
1001,D:CC BlackCat,57,10,0
1001,D:CC BlackCat,58,10,0
1001,D:CC BlackCat,59,10,60
1001,D:CC BlackCat,60,10,0
1001,D:CC BlackCat,61,10,0
1001,D:CC BlackCat,62,10,0
1001,D:CC BlackCat,63,10,0
1001,D:CC BlackCat,64,10,0
1001,D:CC BlackCat,65,10,0
1001,D:CC BlackCat,66,10,0
1001,D:CC BlackCat,67,10,0
1001,D:CC BlackCat,68,10,0
1001,D:CC BlackCat,69,10,60
1001,D:CC BlackCat,70,10,0
1001,D:CC BlackCat,71,10,0
1001,D:CC BlackCat,72,10,0
1001,D:CC BlackCat,73,10,0
1001,D:CC BlackCat,74,10,0
1001,D:CC BlackCat,75,10,0
1001,D:CC BlackCat,76,10,0
1001,D:CC BlackCat,77,10,0
1001,D:CC BlackCat,78,10,0
1001,D:CC BlackCat,79,10,60
1001,D:CC BlackCat,80,10,0
1001,D:CC BlackCat,81,10,0
1001,D:CC BlackCat,82,10,0
1001,D:CC BlackCat,83,10,0
1001,D:CC BlackCat,84,10,0
1001,D:CC BlackCat,85,10,0
1001,D:CC BlackCat,86,10,0
1001,D:CC BlackCat,87,10,0
1001,D:CC BlackCat,88,10,0
1001,D:CC BlackCat,89,10,60
1001,D:CC BlackCat,90,10,0
1001,D:CC BlackCat,91,10,0
1001,D:CC BlackCat,92,10,0
1001,D:CC BlackCat,93,10,0
1001,D:CC BlackCat,94,10,0
1001,D:CC BlackCat,95,10,0
1001,D:CC BlackCat,96,10,0
1001,D:CC BlackCat,97,10,0
1001,D:CC BlackCat,98,10,0
1001,D:CC BlackCat,99,10,60
1001,D:CC BlackCat,100,10,0
1002,Red Donguri,1,10,0
1002,Red Donguri,2,10,0
1002,Red Donguri,3,10,0
1002,Red Donguri,4,10,0
1002,Red Donguri,5,10,0
1002,Red Donguri,6,10,0
1002,Red Donguri,7,10,0
1002,Red Donguri,8,10,0
1002,Red Donguri,9,10,100
1002,Red Donguri,10,10,0
1002,Red Donguri,11,10,0
1002,Red Donguri,12,10,0
1002,Red Donguri,13,10,0
1002,Red Donguri,14,10,0
1002,Red Donguri,15,10,0
1002,Red Donguri,16,10,0
1002,Red Donguri,17,10,0
1002,Red Donguri,18,10,0
1002,Red Donguri,19,10,100
1002,Red Donguri,20,10,0
1002,Red Donguri,21,10,0
1002,Red Donguri,22,10,0
1002,Red Donguri,23,10,0
1002,Red Donguri,24,10,0
1002,Red Donguri,25,10,0
1002,Red Donguri,26,10,0
1002,Red Donguri,27,10,0
1002,Red Donguri,28,10,0
1002,Red Donguri,29,10,100
1002,Red Donguri,30,10,0
1002,Red Donguri,31,10,0
1002,Red Donguri,32,10,0
1002,Red Donguri,33,10,0
1002,Red Donguri,34,10,0
1002,Red Donguri,35,10,0
1002,Red Donguri,36,10,0
1002,Red Donguri,37,10,0
1002,Red Donguri,38,10,0
1002,Red Donguri,39,10,100
1002,Red Donguri,40,10,0
1002,Red Donguri,41,10,0
1002,Red Donguri,42,10,0
1002,Red Donguri,43,10,0
1002,Red Donguri,44,10,0
1002,Red Donguri,45,10,0
1002,Red Donguri,46,10,0
1002,Red Donguri,47,10,0
1002,Red Donguri,48,10,0
1002,Red Donguri,49,10,100
1002,Red Donguri,50,10,0
1002,Red Donguri,51,10,0
1002,Red Donguri,52,10,0
1002,Red Donguri,53,10,0
1002,Red Donguri,54,10,0
1002,Red Donguri,55,10,0
1002,Red Donguri,56,10,0
1002,Red Donguri,57,10,0
1002,Red Donguri,58,10,0
1002,Red Donguri,59,10,100
1002,Red Donguri,60,10,0
1002,Red Donguri,61,10,0
1002,Red Donguri,62,10,0
1002,Red Donguri,63,10,0
1002,Red Donguri,64,10,0
1002,Red Donguri,65,10,0
1002,Red Donguri,66,10,0
1002,Red Donguri,67,10,0
1002,Red Donguri,68,10,0
1002,Red Donguri,69,10,100
1002,Red Donguri,70,10,0
1002,Red Donguri,71,10,0
1002,Red Donguri,72,10,0
1002,Red Donguri,73,10,0
1002,Red Donguri,74,10,0
1002,Red Donguri,75,10,0
1002,Red Donguri,76,10,0
1002,Red Donguri,77,10,0
1002,Red Donguri,78,10,0
1002,Red Donguri,79,10,100
1002,Red Donguri,80,10,0
1002,Red Donguri,81,10,0
1002,Red Donguri,82,10,0
1002,Red Donguri,83,10,0
1002,Red Donguri,84,10,0
1002,Red Donguri,85,10,0
1002,Red Donguri,86,10,0
1002,Red Donguri,87,10,0
1002,Red Donguri,88,10,0
1002,Red Donguri,89,10,100
1002,Red Donguri,90,10,0
1002,Red Donguri,91,10,0
1002,Red Donguri,92,10,0
1002,Red Donguri,93,10,0
1002,Red Donguri,94,10,0
1002,Red Donguri,95,10,0
