id,level_start,level_end,rune_stone_quantity,crystal_quantity,ncg_quantity,level_up_success_rate
30001,1,10,1,0,0,10000
30001,11,30,1,1,0,10000
30001,31,50,2,10,0,10000
30001,51,51,2,10,1,10000
30001,52,60,2,10,0,10000
30001,61,61,2,10,1,10000
30001,62,70,2,10,0,10000
30001,71,71,3,20,1,10000
30001,72,80,3,20,0,10000
30001,81,81,3,20,1,10000
30001,82,90,3,20,0,10000
30001,91,91,3,20,2,10000
30001,92,100,3,20,0,10000
30001,101,101,3,20,2,10000
30001,102,110,5,30,0,10000
30001,111,111,3,20,2,10000
30001,112,120,5,30,0,10000
30001,121,121,3,20,2,10000
30001,122,125,5,30,0,10000
30001,126,130,15,750,0,10000
30001,131,131,10,500,5,10000
30001,132,140,15,750,0,10000
30001,141,141,10,500,5,10000
30001,142,150,15,750,0,10000
30001,151,151,10,500,5,10000
30001,152,160,15,750,0,10000
30001,161,161,10,500,5,10000
30001,162,170,15,750,0,10000
30001,171,171,10,500,5,10000
30001,172,180,15,750,0,10000
30001,181,181,10,500,5,10000
30001,182,190,15,750,0,10000
30001,191,191,10,500,5,10000
30001,192,200,15,750,0,10000
30001,201,201,20,500,10,10000
30001,202,210,40,1000,0,10000
30001,211,211,20,500,10,10000
30001,212,220,40,1000,0,10000
30001,221,221,20,500,10,10000
30001,222,230,40,1000,0,10000
30001,231,231,20,500,10,10000
30001,232,240,40,1000,0,10000
30001,241,241,20,500,10,10000
30001,242,250,40,1000,0,10000
30001,251,251,20,500,10,10000
30001,252,260,40,1000,0,10000
30001,261,261,20,500,10,10000
30001,262,270,40,1000,0,10000
30001,271,271,20,500,10,10000
30001,272,280,40,1000,0,10000
30001,281,281,20,500,10,10000
30001,282,290,40,1000,0,10000
30001,291,291,20,500,10,10000
30001,292,300,40,1000,0,10000
10001,1,1,100,2000,0,10000
10001,2,2,15,3000,0,10000
10001,3,3,20,4000,0,10000
10001,4,4,10,2000,0,10000
10001,5,5,15,3000,0,10000
10001,6,6,20,4000,0,10000
10001,7,7,10,2000,0,10000
10001,8,8,15,3000,0,10000
10001,9,9,20,4000,0,10000
10001,10,10,200,4000,0,10000
10001,11,12,15,3000,0,10000
10001,13,13,20,4000,0,10000
10001,14,14,10,2000,0,10000
