id,boss_id,started_block_index,ended_block_index,fee,ticket_price,additional_ticket_price,max_purchase_count
1,900001,5045201,5095600,1,1,1,40
2,900001,5362001,5412400,1,1,1,40
3,900001,5599601,5650000,1,1,1,40
4,900001,5902001,5952400,1,1,1,40
5,900002,6002801,6053200,1,1,1,40
6,900002,6154001,6204400,1,1,1,40
7,900002,6305201,6355600,0,1,1,40
8,900001,6506801,6557200,1,1,1,40
9,900002,6658001,6708400,1,1,1,40
10,900001,6809201,6859600,1,1,1,40
11,900002,7010801,7061200,1,1,1,40
12,900001,7111601,7162000,1,1,1,40
13,900002,7262801,7313200,1,1,1,40
14,900001,7414001,7464400,1,1,1,40
15,900002,7615601,7666000,1,1,1,40
16,900001,7716401,7766800,1,1,1,40
17,900002,7867601,7918000,1,1,1,40
18,900001,8018801,8119600,1,1,1,40
19,900002,8220401,8341360,1,1,1,40
20,900001,8462321,8613520,1,1,1,40
21,900002,8764721,8915920,1,1,1,40
22,900001,9067121,9218320,1,1,1,40
23,900002,9369521,9520720,1,1,1,40
24,900001,9671921,9823120,1,1,1,40
25,900002,10025619,10176818,1,1,1,40
26,900001,10267216,10440016,1,1,1,40
27,900002,10440017,10612817,1,1,1,40
28,900001,10684001,10835200,1,1,1,40
29,900002,11131301,11282500,1,1,1,40
30,900001,11433701,11584900,1,1,1,40
31,900002,11736101,11887300,1,1,1,40
32,900001,12038501,12189700,1,1,1,40
33,900002,12340901,12492100,1,1,1,40
34,900001,12643301,12794500,1,1,1,40
35,900002,12945701,13096900,1,1,1,40
36,900001,13248101,13399300,1,1,1,40
37,900002,13722873,13874072,1,1,0,40
38,900001,14025273,14176472,1,1,0,40
39,900002,14327673,14478872,1,1,0,40
40,900001,14630073,14781272,1,1,0,40
41,900002,14932473,15083672,1,1,0,40
42,900001,15234873,15386072,1,1,0,40
43,900002,15537273,15688472,1,1,0,40
44,900001,15839673,15990872,1,1,0,40
45,900002,16142073,16293272,1,1,0,40
46,900001,16444473,16595672,1,1,0,40
47,900002,16746873,16898072,1,1,0,40
48,900001,17049273,17200472,1,1,0,40
49,900002,17351673,17502872,1,1,0,40
50,900001,17654073,17805272,1,1,0,40
51,900002,17956473,18107672,1,1,0,40
52,900001,18258873,18410072,1,1,0,40
53,900002,18561273,18712472,1,1,0,40
54,900001,18863673,19014872,1,1,0,40
55,900002,19166073,19317272,1,1,0,40
56,900001,19468473,19619672,1,1,0,40
57,900002,19770873,19922072,1,1,0,40
58,900001,20073273,20224472,1,1,0,40
59,900002,20375673,20526872,1,1,0,40
60,900001,20678073,20829272,1,1,0,40
