ID,Name,Fungible ID
100000,보물상자,baa2081d3b485ef2906c95a3965531ec750a74cfaefe91d0c3061865608b426c
301000,핏빛 보석,f9516f6cdc18a7b7ba8c93f6bba3edb86cf1885d32617d4a489d75d076e3b6c9
302000,쌀,26c3b4ca8cdd4e1436ff74765bcf637996359a0571a08a8fee7c8926ee540bcc
302001,생선,ced92cc2cc3417e29eced7945872eae48f03604271cfb63d87d340599262fabe
302002,깡통,0dff50a72339a6666aa6ad575fe4a5545f8538e5a40f9cf12815b0adf4e5ebbc
302003,달걀,5ce7c91e1b6bb014e79c2ad73d6fb9d64c2ed2d782b35871bfaf34b837f3bd82
302004,암염,816c9b6018848819f192f58e2fed56a4ad7e3e393ced891502294415f2cc4f19
302005,올리브유,33e12fbe287ddd463c1f33224aae848064caa7f64fc7c3e43f813ce9a4a5f877
302006,허브,376163244ad129e637703566d213efaf3c878a68a393c9c8d51fd8d3dc7cb9ad
302007,비린내 나는 고기,f568d5f94390016a55e33cd2ee15a0e335c763ee7a38f766cef028e441dec9e1
302008,맛있어 보이는 고기,da3c5c2c73abc8af010e0d7b627557ca96fb0cb7d5671a5f3484e3a788970279
302009,일품급 고기,0407104affc6b56b26889c95fa41a6850b723becf84f08530b3dc5e766a70a3a
302010,고급 암염,c220e7aa2a79367b4fe3e11524be3ade6570a9d784754f2268db54a03676c838
302011,고급 허브,d2f6b0e2f50d6bc70a9057140a1b4b0b762c95faba6a687d7c35ff330980052d
302012,새우,05897e6c6b6ed4dcc7c510c250388d21d08bb367588034bb363de3e8ea6a715e
302013,치킨,de6f84b5514499b56f42e68a21af9aa8563531b681a39a04c643c39d5a3e2101
302014,토마토 소스,6bf9a1bcf5594c3d0c16c77576b5bd489f96330d5b504dd05788367f087e7e4c
302015,장작,4442400a7ea7e92dba149b4062288224d74337a4dd277482c2609e5a0f30c34b
302016,아몬드,2448dd5d578a2b73428a863e55b1df70112c0e3d59782e851696458d74024286
302017,꿀,64bca9d807ae3897c5006ffec083850323af0260160da6154ebaecc6305f3c94
302018,간장,22777d15b712468ee109a41a867425a85874eec283e0b833e75d0cc8622215c3
302019,토마토 소스,4572591e3d1df2b1badbd264266c8e44c350c4ea5ea609c4a559deed291a0cc0
302020,장작,f7fb5497cc8ff0a990bb10c2eda8021b769deb6728cab1f5fe95d06c9327878e
302021,꿀,0adecd647de4d3ce86905cacf6a28043ec73e355da7948c486b10a811a26bec8
302022,간장,7f5d25371e58c0f3d5a33511450f73c2e0fa4fac32a92e1cbe64d3bf2fef6328
302023,차가운 얼음,8bb476f35ffddb49bcc77f84266ac7acdff0fda1e5573df5c585b565fa70d7da
302024,연유,a27aab9b302e74abff0cce33aa578b0b25d703624a3ac242c5a66184806969e5
302025,동글이 잎사귀,2a0e473a145d4c21c4a7bfd06c6afd2c14579182e947c8f7b1e9df75914a2fa1
302026,얼어붙은 열매,910d4de5b0062850e9dce2062df4707b0ced4c2ee028b973d0d8936131ff1fbd
302027,서리 결정,2b13e19864cfb4ed0c67398eba68ab6f64cb8803382cd66c10d640340d3e67b2
302028,빨간 열매,f2aceb2198593a39e6b5961f5ca6e2a8c36f6a9209a1ea767938296fd232cb9f
302029,거친 나무 조각,73abc1ca0dabdb53979bf4d62efb12f70410bdc0f77ed1b9f2d8bc97a41bdc9d
302030,어둠 물고기,4db3bafa242f8bf19a14115179b6f9bbb07b08c81fc335d57fe8ec1e9eb5e26f
302031,영혼수,c2303f6fde9b4ee18213cfa26c24844c234e965c1b0be2c5a297a7e8b20134b4
302032,붉은 파우더,d3123f37eb48d62fb15972a4c05252323ec270f94e81fe88052878c46dd37190
303000,녹슨 칼,49f1b85f25ac28b2915ebaa0262cbefbfc9cf86d6b524ca477b2b1d84af18224
303001,버려진 검,0ffbb35d51ff21e65469e945767027bef12907890d221a7b33c9de88bcbef25b
303002,단단한 검,5f90371603bac99b1d27e9b2cefc578c7f643fb4a8a3a934827cc4a4b4d28e93
303003,영험한 기운의 검,83805ae0a613d02edc379caa81d00fc6d3be0338bfe133b188ae2840e27c0af0
303004,전설의 검,f1cc3185a8f36eb9606d19f790f07bde5da9d331b1fdc7a0fb8397979534cdcd
303005,신성한 검,d1d68a2ecc8947d55778eb0a3b74f869bdfcf17d1d61ba0247993f9b5499b3ac
303100,낡은 옷,2df68143ccb6384443066e215523968a609803cf8c457bda3ccdaec63aa0e319
303101,버려진 옷,cfa9e5af9d0c1b732f7e1e60fb66301189116c5538e156965f480a69ff8e4e72
303102,단단한 옷,0628b45b0ee60f126a6d81396ad760f7863a7a00fbba3f5afa3291c2f91f8d5d
303103,영험한 기운의 갑옷,ef259ea0a474394a6696e869f6de1a3f2d39542d1e9f9df2b213e19905f1a964
303104,전설의 옷,e59683cdc86342dcb604d49cc6dd17226910c47c453a93ea0eb93f957e174b96
303105,신성한 옷,2db74d181be468ddd68be36d128426360e7ef134934428684a9ab91304b71b21
303200,낡은 끈,480593f6586f6d4c5ae24493c03d30dad65fdd0858d45ac0719e461de2e12521
303201,버려진 허리띠,b50b84e3ac47d57d0efb9c85b3e90a91126ed00aa1cca2f77d336523de9dc96c
303202,단단한 벨트,e774389536d1ecb80a21dc517d73b4d01b3633e32aa05fcee40a0eced0c2213d
303203,영험한 기운의 벨트,e4fc412778f96355abdd5e0e3f7448e85054a3e0c5beb48369a0299046282ef1
303204,전설의 벨트,f2ec3e061e9806dc5783ef54fcf9365105a15d64cdab717beb3e4f19526fbf3a
303205,신성한 벨트,06c460231aad3ca74be44542dabcad2ce2b2df67c327d5a8207d139c1d00736f
303300,낡은 목걸이,1bd96c8d5bce17827b894e01d4eb87bd853bc6a48baee9e6151ce568ae43ad39
303301,버려진 목걸이,409c79e0f49965cc4b6bc9a03cb920845eb4c14a9c7a320e915a05902e56363e
303302,단단한 목걸이,8806d6daf37c38bc8867e1e8f62ec832b8bea44d6f8da49d8882a53ef03ad847
303303,영험한 기운의 목걸이,2b26ad65277e924bb48d6fe3e4f353a4897a5668a86abd9049a61c4b536fd60c
303304,전설의 목걸이,30ea51c3a81aa348bcebe0e7f34d65762002ecb045ad3b88644c4f3756a45fdc
303305,신성한 목걸이,d84c569427a1368e5b482d6e32d39bee9232411d0cd618e310943cd2bed9f4f4
303400,낡은 반지,45c8a87009caf8f9d3ecf58618fa6e2b14fe0edb2283d373e3c190c56eb96d8a
303401,버려진 반지,2ad7be25e4aaa97303bc14a1826c97652936688dd9582e2f9ac4a7574bc55da0
303402,단단한 반지,ac5e8131f6463ac662cac47f65646b2fc1f8ddc68f9328c47c468679f6a2f652
303403,영험한 기운의 반지,7fbb23db56bd3c1e74632f720dacd71d8945530b53cb5c391b81fe7acd4ef18b
303404,전설의 반지,497de1315a769e2427f1912920fc7f7d8b99fb761668bc4db7960c508eccd48d
303405,신성한 반지,62c951a60149a75c9f90306df656321b27e9fc2d277e2e54f04e3d95ccabcfe4
304000,불의 정수,c867f82855d9b787ee60f8ed61779ac969a14a04d834741fd07fb6525102320f
304001,대지의 정수,3ef90cdbae54c38ac0d8a8052f1210a66b20f9dbf61d1479a52969ea5ea88ad8
304002,물의 정수,e6d45fd6df28dcfae9032a478c41611b3a44b43f47ecff9f0a4582c585d5ddfa
304003,바람의 정수,3709da2360f3b120dd5be5122472f967b32352234157b0b469e0152e7ad85e35
305000,얼음의 염료,fe4dc877db4bc6aa1e2559b379f3740059b6796099f954f165e1b545d136e86e
305001,불의 염료,1bdf450e7605213a621633d8ad90062649be5c04fef8243501c8e024040f8595
305002,숲의 염료,2e570210fa20de0a0a5c4f8190b97107c5c92f2121d22cff19723dbe7b322744
305003,요정의 염료,daead9bcc4a329a9b2f0ad9362ce83be62b17741c808f6989c74f40637a12697
305004,여신의 염료,2ead50d316ea771c41bf86a7a1fe833ca529d85963f8f3a86966dd83549dd7b6
306000,차가운 씨앗 껍질,234b49b036ad8bcf577f71160f36b394fa8ab59b7b460e95c820a0091eaa5bb0
306001,작은 잎사귀,77cfad5273885820b69e61c2106ae06583f69c7f6d82a229b59e5f1b984164be
306002,시들지 않는 잎사귀,28a2c38b0934225a8f2327b9bd8cf7c7eaf3551bde8203f44248c011938e9770
306003,빛나는 액체,c498347141fd2ba40049a6d6b27ea39204cf838ab5b324a523035cad88c65a75
306004,부드러운 줄기,58cb28c3048aee77fe959f15c836991f88597e3e3e292ab29831056d9366b0d9
306005,물컹한 씨앗,e6a202c35b7565746921a75a592ebcbbcbce1a0143e3ae5298792e9be8d3bc82
306006,푸른 빛의 꽃,b74293091924d8c06d02f389daeb8670becf125daab9a7b88a2f1cbb3db8f8f3
306007,푸른 열매,3315163b561d4c7ebab340a9c0a99f60e167234e913d5d1102843d8232d703c4
306008,영혼의 결정,f5ead0d4a7a386431f0cc7966978285d1e802c4aa399c471d66925a105c44a62
306009,작은 돌멩이,67f6ff0b0e20202a8e63742adf804355ceaee3ab636ed3065bd535985e7109a8
306010,부서진 돌날,e0e69c7f4f16174438570e79ef52f5091ff761615a29dc70d3babbb4a099ce33
306011,부드러운 솜털,2d85afe3aa2e0ebc49df0149cf939feeddbfb9049a1e0c3bd7d8c00a948fece6
306012,희귀한 돌조각,40d251429556c270fa8358412c2666dda2e3445235175cd6ed96b52100c35d45
306013,낡은 칼자루,de1f3d2473ff7eedef2fba32bdbd31f6657fdad7c948d9ea155347220a9ac680
306014,대지의 열매,3ed5c8a239cc82ef647c1445db24bf0318a6503fce85d9b55f417079635037c8
306015,부서진 마법석,225ca67d4c5a6f35efb5e9d6a1fa5b4b2007d45dd6a4149381884d44b4a05208
306016,대지의 정령석,8de0d96eb9063641f36fe8e5f7a81b6c59e6da07e9a3d17316fb5f01788302c2
306017,어둠의 휘장,eca24ce26dc947fae49f37ecf53866e05fc10ef7e303931d38b169e1f485f367
306018,마력의 구슬,e623369c33b0ffa0730a0927f3f4b31cf5e2c805bc8c729f99d094423d26a11e
306019,여우 가죽,ba850548087c1aed29d1554c8ee923e2f0ca55adc26f7498dba5e76532793661
306020,여우의 송곳니,eece83437ae0bf9fe5ac1cd657351ca6f902302d3bf55b100f9864c270f581f0
306021,대지의 창 날,7230fb58564e4be40c78289a7a742d13ef6cbe37f5e846caa03ba1bfcd5ef798
306022,대지의 견장,9c28a2fa85929b1510e338403d9c2ae8c19634a30dbcde4ce4ff4ef70b172a7c
306023,나무껍질,1af5e747fc81a7f3149af024db2e5025b6749a000d66b22e665acdd45b8dbd17
306024,나무조각,a8f74ec8420701df93d2a583f3a1b38360afc8b9253b3232555125fc7082127f
306025,단단한 껍질,8850c08af8bea31a8688f98638ec0459f62fb3512a5f1d3ff0595cdbb00ef37e
306026,두꺼운 천조각,d988d86e2fb4c6d49e0f7fec7586f7cc34d818ee2278d36df2c9e9280de5a747
306027,날카로운 무기 조각,9bc2b5c16656cff106a52029829b9035e0bc51203fb26fb749279ab68a6908b1
306028,하얀 가루,8358b0cf6e8f7fe2c22deda2d40cd18168d901bf7e3fdb5a54f93359bf6665d0
306029,단단한 쇳조각,9757db9a4206ffd39dfa764603aef5af6157799847c4b4c2c51c2099c0f9015f
306030,반짝이는 돌,e1bd9e48f18b5efbdd093c23b8c790f98a6fba7dce9899cf91b89aa602b5315e
306031,단단한 쇠사슬,e46d171a6b0c0f80dfbbaabcfe900dd5d1d1f33902514cbef531c51c1e1d64e8
306032,화염의 부러진 지팡이,9938efff537066a71e33b51cd8f449b70d446ac5e8a3d6bfdd17d815a05215dc
306033,화염의 제림니르 도끼,58470d7f6acf9169f25acb20c55d1a452295c2c108e6070d6a56076de2a6e9ab
306034,화염의 제림니르 철퇴,f22ce9fb6cd774897b90875a5e6d7193bf340d618fc2af75151658a5824f44f6
306035,수액 덩어리,bc72854de3450fbb8396be17618de14b0de9998e0a0c9abb2470674a11b5c311
306036,화염의 수액 덩어리,c8c3f915a9a2da7e16ad480621584e8b29aada00d1a1d25e66373453391b7784
306037,바람의 수액 덩어리,23f962bce63ea0f28eb22a89b6abc7a31e703fc3a120d23d0cfe545722920197
306038,대지의 수액 덩어리,c46aa5f7cb7a9685326d86b3f48e9ce38e2ba994671e635879e6c5e00c46ed8b
306039,물의 수액 덩어리,a1c1070067a74ea2cc52a392fffe48a3faa634680d39e5118a886267f9604bed
306040,수액 덩어리(소),978ac75b2444173ceb4060b3ff1b59ecc8a5e8f8e75deddd691bae1bc73bc30c
306041,화염의 수액 덩어리(소),e6131567ec4998dec5b064849ff1322e45df876fd6e129c82257f71babd5db09
306042,바람의 수액 덩어리(소),31f48810fa91236281c165659d65003cfb611205a52c1ff6e02c019b86625dda
