id,_memo,currency_ticker,fungible_id,garage_cost_per_unit,item_id
1,ap portion(500000),,00dfffe23964af9b284d121dae476571b7836b8d9e2e5f510d92a840fecc64fe,0.01,500000
2,hourglass(400000),,3991e04dd808dc0bc24b21f5adb7bf1997312f8700daf1334bf34936e8a0813a,0.0001,400000
3,silver dust(800201),,1a755098a2bc0659a063107df62e2ff9b3cdaba34d96b79519f504b996f53820,0.01,800201
4,golden dust(600201),,f8faf92c9c0d0e8e06694361ea87bfc8b29a8ae8de93044b98470a57636ed0e0,0.01,600201
5,golden leaf runestone,RUNE_GOLDENLEAF,,0.1,
6,crystal,CRYSTAL,,0.0000001,
7,golden meat(800202),,48e50ecd6d1aa2689fd349c1f0611e6cc1e9c4c74ec4de9d4637ec7b78617308,0.01,800202
8,ruby dust(600202),,08f566bb43570aad34c1790901f824dd5609db880afebd5382fcec054203d92a,0.1,600202
9,emerald dust(600203),,69542db48e868a9df1469bb3c48fd024c767cb362c7471c41151e3498e01e8be,0.01,600203
10,adventureboss cri runestone,RUNESTONE_CRI,,0.1,
11,scroll(600401),,8ff7180f0f532784ea938c8d53247306fb33d4d04add0f0a7e77b651dbe01843,0.1,600401
12,thor godlen seed runestone,RUNESTONE_GOLDENTHOR,,0.1,
13,blackcat soulstone,SOULSTONE_1001,,0.1,
14,donguri soulstone,SOULSTONE_1002,,0.1,
15,valkyrie soulstone,SOULSTONE_1003,,0.1,
16,fenrir soulstone,SOULSTONE_1004,,0.1,
