rune_id,level,total_cp,stat_type_1,value_1,value_type_1,stat_type_2,value_2,value_type_2,stat_type_3,value_3,value_type3,skillId,cooldown,chance,skill_value,skill_stat_ratio,skill_value_type,stat_reference_type,buff_duration
10043,1,3447665,ATK,72842,Add,DEF,160269,Add,,,,210004,12,30,50,Add,NONE,Caster,6
10043,2,3499010,ATK,74369,Add,DEF,163632,Add,,,,210004,12,30,51,Add,NONE,Caster,6
10043,3,3550345,ATK,75898,Add,DEF,166992,Add,,,,210004,12,30,52,Add,NONE,Caster,6
10043,4,3601658,ATK,77424,Add,DEF,170353,Add,,,,210004,12,30,53,Add,NONE,Caster,6
10043,5,3652993,ATK,78953,Add,DEF,173713,Add,,,,210004,12,30,54,Add,NONE,Caster,6
10043,6,3704338,ATK,80480,Add,DEF,177076,Add,,,,210004,12,30,55,Add,NONE,Caster,6
10043,7,3755672,ATK,82009,Add,DEF,180436,Add,,,,210004,12,30,56,Add,NONE,Caster,6
10043,8,3806986,ATK,83535,Add,DEF,183797,Add,,,,210004,12,30,57,Add,NONE,Caster,6
10043,9,3858320,ATK,85064,Add,DEF,187157,Add,,,,210004,12,30,58,Add,NONE,Caster,6
10043,10,3909665,ATK,86591,Add,DEF,190520,Add,,,,210004,12,30,59,Add,NONE,Caster,6
10043,11,3961000,ATK,88120,Add,DEF,193880,Add,,,,210004,12,30,60,Add,NONE,Caster,6
10043,12,4012313,ATK,89646,Add,DEF,197241,Add,,,,210004,12,30,61,Add,NONE,Caster,6
10043,13,4063648,ATK,91175,Add,DEF,200601,Add,,,,210004,12,30,62,Add,NONE,Caster,6
10043,14,4114993,ATK,92702,Add,DEF,203964,Add,,,,210004,12,30,63,Add,NONE,Caster,6
10043,15,4166327,ATK,94231,Add,DEF,207324,Add,,,,210004,12,30,64,Add,NONE,Caster,6
10043,16,4217651,ATK,95757,Add,DEF,210686,Add,,,,210004,12,30,65,Add,NONE,Caster,6
10043,17,4268986,ATK,97286,Add,DEF,214046,Add,,,,210004,12,30,66,Add,NONE,Caster,6
10043,18,4320320,ATK,98813,Add,DEF,217408,Add,,,,210004,12,30,67,Add,NONE,Caster,6
