level,required_gold,item_id,rate,type,currency_ticker,currency_decimal_places,decimal_rate,tradable
1,50,400000,,Item,,,10,TRUE
1,50,500000,,Item,,,800,TRUE
1,50,20001,,Rune,,,6000,TRUE
2,500,400000,,Item,,,4,TRUE
2,500,500000,,Item,,,600,TRUE
2,500,20001,,Rune,,,6000,TRUE
2,500,,,Currency,CRYSTAL,18,0.1,TRUE
2,500,600401,,Item,,,100,TRUE
3,5000,600401,,Item,,,100,TRUE
4,50000,600401,,Item,,,100,TRUE
5,500000,600401,,Item,,,100,TRUE
6,1000000,600401,,Item,,,100,TRUE
7,5000000,600401,,Item,,,100,TRUE
8,10000000,600401,,Item,,,100,TRUE
3,5000,400000,,Item,,,2,TRUE
3,5000,500000,,Item,,,400,TRUE
3,5000,20001,,Rune,,,5000,TRUE
3,5000,,,Currency,CRYSTAL,18,0.02,TRUE
3,5000,600201,,Item,,,500,FALSE
3,5000,800201,,Item,,,500,FALSE
3,5000,600202,,Item,,,5000,FALSE
4,50000,400000,,Item,,,2,TRUE
4,50000,500000,,Item,,,400,TRUE
4,50000,20001,,Rune,,,5000,TRUE
4,50000,,,Currency,CRYSTAL,18,0.02,TRUE
4,50000,600201,,Item,,,500,FALSE
4,50000,800201,,Item,,,500,FALSE
4,50000,800202,,Item,,,10000,FALSE
4,50000,600202,,Item,,,5000,FALSE
5,500000,400000,,Item,,,1,TRUE
5,500000,500000,,Item,,,200,TRUE
5,500000,20001,,Rune,,,3000,TRUE
5,500000,,,Currency,CRYSTAL,18,0.02,TRUE
5,500000,600201,,Item,,,357,FALSE
5,500000,800201,,Item,,,357,FALSE
5,500000,800202,,Item,,,10000,FALSE
5,500000,600202,,Item,,,3570,FALSE
6,1000000,400000,,Item,,,1,TRUE
6,1000000,500000,,Item,,,200,TRUE
6,1000000,20001,,Rune,,,3000,TRUE
6,1000000,,,Currency,CRYSTAL,18,0.02,TRUE
6,1000000,600201,,Item,,,200,FALSE
6,1000000,800201,,Item,,,200,FALSE
6,1000000,800202,,Item,,,10000,FALSE
6,1000000,,,Currency,GARAGE,18,10000,TRUE
6,1000000,600202,,Item,,,2000,FALSE
7,5000000,400000,,Item,,,1,TRUE
7,5000000,500000,,Item,,,200,TRUE
7,5000000,20001,,Rune,,,3000,TRUE
7,5000000,800201,,Item,,,100,FALSE
7,5000000,,,Currency,CRYSTAL,18,0.02,TRUE
7,5000000,600201,,Item,,,100,FALSE
7,5000000,800202,,Item,,,100,FALSE
7,5000000,,,Currency,GARAGE,18,500,TRUE
7,5000000,600202,,Item,,,1000,FALSE
8,10000000,400000,,Item,,,0.4,TRUE
8,10000000,500000,,Item,,,80,TRUE
8,10000000,20001,,Rune,,,1200,TRUE
8,10000000,600201,,Item,,,50,FALSE
8,10000000,800201,,Item,,,50,FALSE
8,10000000,,,Currency,GARAGE,18,100,TRUE
8,10000000,,,Currency,CRYSTAL,18,0.002,TRUE
8,10000000,800202,,Item,,,50,FALSE
8,10000000,600202,,Item,,,500,FALSE
