item_id,crystal
301000,300
302000,300
302001,300
302002,300
302003,300
302004,18000
302005,300
302006,30000
302007,300
302008,300
302009,300
302010,30000
302011,90000
302012,1200
302013,1200
302014,1200
302015,1200
302016,1200
302017,18000
302018,30000
303000,50
303001,200
303002,3000
303003,30000
303004,90000
303100,50
303101,100
303102,3000
303103,30000
303104,90000
303200,50
303201,200
303202,3000
303203,30000
303204,90000
303300,50
303301,200
303302,3000
303303,30000
303304,90000
303400,50
303401,200
303402,3000
303403,30000
303404,90000
304000,30
304001,30
304002,30
304003,30
305000,30
305001,30
305002,30
305003,30
305004,30
306000,30
306001,30
306002,30
306003,120
306004,120
306005,120
306006,1800
306007,1800
306008,1800
306009,120
306010,120
306011,120
306012,120
306013,120
306014,120
306015,1800
306016,1800
306017,1800
306018,18000
306019,18000
306020,18000
306021,30000
306022,30000
306023,30
306024,30
306025,30
306026,120
306027,120
306028,120
306029,1800
306030,1800
306031,1800
306035,3600
306036,3600
306037,3600
306038,3600
306039,3600
306040,120
306041,120
306042,120
306043,120
306044,120
306045,12000
306046,30000
306047,30000
306048,30000
306049,30000
306050,120
306051,120
306052,120
306053,1800
306054,1800
306055,1800
306056,30
306057,120
