id,boss_id,started_block_index,ended_block_index,fee,ticket_price,additional_ticket_price,max_purchase_count
1,900001,151201,302400,1,1,1,40
2,900002,453601,604800,1,1,1,40
3,900001,756001,907200,1,1,1,40
4,900002,1058401,1209600,1,1,1,40
5,900001,1360801,1512000,1,1,1,40
6,900002,1663201,1814400,1,1,1,40
7,900001,1965601,2116800,1,1,1,40
8,900002,2268001,2419200,1,1,1,40
9,900001,2570401,2721600,1,1,1,40
10,900002,2872801,3024000,1,1,1,40
11,900001,3175201,3326400,1,1,1,40
12,900002,3477601,3628800,1,1,1,40
13,900001,3780001,3931200,1,1,1,40
14,900002,4082401,4233600,1,1,1,40
15,900001,4384801,4536000,1,1,1,40
16,900002,4687201,4838400,1,1,1,40
17,900001,4989601,5140800,1,1,1,40
18,900002,5292001,5443200,1,1,1,40
19,900001,5594401,5745600,1,1,1,40
20,900002,5896801,6048000,1,1,1,40
21,900001,6199201,6350400,1,1,1,40
22,900002,6501601,6652800,1,1,1,40
23,900001,6804001,6955200,1,1,1,40
24,900002,7106401,7257600,1,1,1,40
25,900001,7408801,7560000,1,1,1,40
26,900002,7711201,7862400,1,1,1,40
27,900001,8013601,8164800,1,1,1,40
28,900002,8316001,8467200,1,1,1,40
29,900001,8618401,8769600,1,1,1,40
30,900002,8920801,9072000,1,1,1,40
31,900001,9223201,9374400,1,1,1,40
32,900002,9525601,9676800,1,1,1,40
33,900001,9828001,9979200,1,1,1,40
34,900002,10130401,10281600,1,1,1,40
35,900001,10432801,10584000,1,1,1,40
