id,boss_id,floor,turn_limit,hp_additional,atk_additional,def_additional,cri_additional,hit_additional,spd_additional,background,bgm,reward_1_type,reward_1_id,reward_1_min,reward_1_max,reward_1_ratio,reward_2_type,reward_2_id,reward_2_min,reward_2_max,reward_2_ratio,reward_3_type,reward_3_id,reward_3_min,reward_3_max,reward_3_ratio,min_drop_item,max_drop_item,stage_buff_skill_id
1,2,1,150,50,60,153,0,80,50,chapter_01_01,bgm_yggdrasil_01,Material,600301,1,10,50,Material,600302,1,10,30,Material,600303,1,10,20,1,3,401000
2,2,2,150,100,80,130,0,20,100,chapter_01_02,bgm_yggdrasil_02,,,,,,,,,,,,,,,,,,401000
3,2,3,150,273,310,270,0,437,364,chapter_01_03,bgm_yggdrasil_03,,,,,,,,,,,,,,,,,,401000
4,2,4,150,1200,1100,800,0,1400,898,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401000
5,1,5,150,2650,1900,1350,0,2525,2525,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401000
6,2,6,150,2650,1900,1350,0,2525,2525,chapter_01_02,bgm_yggdrasil_02,,,,,,,,,,,,,,,,,,401001
7,2,7,150,1880,1650,220,0,8000,3159,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401001
8,2,8,150,3550,3150,3200,0,10000,3841,chapter_01_02,bgm_yggdrasil_02,,,,,,,,,,,,,,,,,,401001
9,2,9,150,5100,2500,6000,0,16500,4300,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401001
10,1,10,150,6800,4900,7000,0,35300,6000,chapter_01_03,bgm_yggdrasil_03,,,,,,,,,,,,,,,,,,401001
11,2,11,150,6800,4900,7000,0,35300,6000,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401002
12,2,12,150,24300,31200,21200,0,155000,22000,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401002
13,2,13,150,36450,46800,31800,0,232500,33000,chapter_01_02,bgm_yggdrasil_02,,,,,,,,,,,,,,,,,,401002
14,2,14,150,72900,93600,63600,0,465000,66000,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401002
15,1,15,150,123930,159120,108120,0,790500,112200,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401002
16,2,16,150,123930,159120,108120,0,790500,112200,chapter_01_02,bgm_yggdrasil_02,,,,,,,,,,,,,,,,,,401003
17,2,17,150,285039,365976,248676,0,1818150,258060,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401003
18,2,18,150,427558,548964,373014,0,2727225,387090,chapter_01_02,bgm_yggdrasil_02,,,,,,,,,,,,,,,,,,401003
19,2,19,150,855116,1097928,746028,0,5454450,774180,chapter_01_01,bgm_yggdrasil_01,,,,,,,,,,,,,,,,,,401003
20,1,20,150,1453697,1866477,1268247,0,9272565,1316106,chapter_01_03,bgm_yggdrasil_03,,,,,,,,,,,,,,,,,,401003
